PRODUCTOS    |Proveedor|PVP DEF con IVA|PVP socios|Observaciones
BEBIDAS CON ALCOHOL||||
Ron 3 años Carta Blanca|Transformando SCA|11.75||
Ron Santiago añejo suave|Transformando SCA|14.00||
Ron Santiago añejo normal|Transformando SCA|15.25||
Miniatura Bajacú Miel|Transformando SCA|1.30||
Miniatura Bajacú 7 años|Transformando SCA|1.45||
Pacharan|Transformando SCA|12.90||
Box vermu 3 litros|Arbonaida|26.25||
Vermut botella|Cooperativa la Unión|8.40||
Vino tinto Egiarte joven|Bodegas Lazaun|4.00|3.70|
Vino tinto Egiarte crianza|Bodegas Lazaun|5.25||
Vino tinto Lezaun 0 sulfitos|Bodegas Lazaun|5.25|5.15|
Vino tinto eco Yuntero|Transformando SCA|3.95||
Vino eco rosado Yuntero|Transformando SCA|3.40||
Vino tinto tempranillo Del Campo eco|Cuatro Soles|4.15||
Vino blanco verdejo Del Campo eco|Cuatro Soles|4.15||
Cerveza Bandolera Sierra morena, Jauja y Ronda|Transformando SCA|1.50|1.40|
Cervezas especiales IPA Verea Marzen Session IPA|Transformando SCA|1.75|1.65|
Cerveza Imperial Stout 1917|Transformando SCA|2.15||
Vino Rosado|Cooperativa la Unión|3.60||
Vino fino tres palacios|Cooperativa la Unión|3.10||
Vino tinaja|Cooperativa la Unión|2.75||
Vino tinto joven|Cooperativa la Unión|2.30||
Vino tinto roble|Cooperativa la Unión|4.65||
Vino Algarabia chardonay/verdejo|Cooperativa la Unión|3.60||
Box fino tres palacios 5 litros|Cooperativa la Unión|14.35||
Box tinaja 5 litros|Cooperativa la Unión|10.90||
BEBIDAS NO ALCOHOLICAS||||
Zumos 1 litro (pera, manzana, melocotón, tomate)|Bioandalus|3.75||
Zumo 1 litro naranja|Bioandalus|3.75||
Zumo 1 litro uva roja|Bioandalus|3.75||
Refresco Frixen cola/naranja/limón|Transformando SCA|1.80||
Leche vaca Frisona entera/semi/desnatada|Naturver|1.75||
Bebida de avena|Naturver|1.65||
Bebida de avena sin gluten|Naturver|1.75||
Bebida soja|Naturver|1.90||
Horchata|Naturver|2.70||
Cerveza IPA sin alcohol|Gumendi|2.90||
ACEITES Y VINAGRES||||
Aceite Marinaleda 5 litros|Transformando SCA|28.85||
Aceite Marinaleda 2 litros|Transformando SCA|12.80||
Aceite Enclave de oliva 2 litros|Enclave|19.35||
Aceite Enclave de oliva 5 litros|Enclave|56.30||
Aceite eco 1 litro|Cuatro Soles|9.50||
Aceite eco 2 litros|Cuatro Soles|18.25||
