PRODUCTOS    |Proveedor|PVP DEF con IVA|precio socios|
HIGIENE HOGAR||||observaciones
Fregasuelos|ADISMAR|3.55||
Detergente lavadora bote|ADISMAR|4.95||
Bolsas basura|ADISMAR|1.50||
Jabón natural polvo|ADISMAR|1.35||
Jabón natural pastilla |ADISMAR|1.20||
Lavavajillas mano limón|ADISMAR|2.60|2.45|
Limpia WC Ecover|Biocop|3.70||
Lavavajillas mano Frosch 750ml|Naturver|3.15||
Suavizante 750 ecover manzana/vainilla|Biocop|3.10||
Suavizante Frosch 750|Naturver|3.05||
Pastilllas lavavajillas Frosch|Naturver|7.50||
Papel de cocina|Gumendi|3.90||
Estropajos|Biocop|2.90||
Limpia WC/limpiasuperficies Dicha&Hecha|Gumendi|2.60||
COSMÉTICA E HIGIENE PERSONAL||||
Desodorante alumbre sin olor|Jaima Alkauzar|4.50||
Desodorante roll on Douce Nature|Biocop|6.70||
Jabones  (taco) chocolate, arcilla, naranja, aloe vera |ADISMAR|2.20||
Gel cuerpo aloe vera (bote grande)|ADISMAR|4.25|4.05|
Manteca  pura de Karite|Equimercado|12.60||
Gel rosa mosqueta, aloe, argan|Equimercado|11.75||
Mascarilla reparadora|Equimercado|16.05||
Cepillo dientes bambú adulto|LRN|4.00||
Cepillo dientes bambú infantil|LRN|3.85||
Papel higiénico |Gumendi|4.35||
Copa Menstrual (todas las tallas)|LRN|16.50||
Hilo dental con estuche|LRN|4.80||
Hilo dental recambio 2 unidades|LRN|6.90||
Bastoncillos|LRN|1.85||
Aceite Esencial Arbol de te|LRN|5.40||
Aceite Esencial Canela|LRN|4.75||
Aceite Esencial Citronella|LRN|4.20||
Aceite Esencial Eucalipto|LRN|3.65||
Aceite Esencial Lavanda|LRN|7.95||
Aceite Esencial Limón|LRN|4.55||
Aceite Esencial Menta|LRN|5.70||
Aceite Esencial Naranja|LRN|3.60||
Aceite de almendras|LRN|9.00||
Acondicionador en spray|LRN|5.60||
Repelente mosquitos|LRN|15.60||
Pasta de dientes adulto|Biocop|5.75||
Champu brown sugar 500ml|Biocop|14.20||
Leche Corporal Avena 250ml|La Biznaguera|18.50||
Leche Corporal Almendras Dulces 250ml|La Biznaguera|16.50||
Crema Hidratatante Manos Avellana y Mejorana 90ml |La Biznaguera|9.80||
Bálsamo Reparador Caléndula y Miel 90ml|La Biznaguera|12.20||
Aceite Baño nutritivo mandarina 100ml|La Biznaguera|18.90||
Crema Facial Comino Negro|La Biznaguera|16.90||
Crema Facial Avena 50ml|La Biznaguera|16.90||
Crema Facial Antioxidante 50ml|La Biznaguera|18.90||
Aceite Facial Equilibrante 30ml|La Biznaguera|18.90||
Bálsamo Labial Karité 10ml|La Biznaguera|5.80||
Bálsamo Labial Avellana 10ml|La Biznaguera|5.80||
Bálsamo Labial Calendula 10ml|La Biznaguera|5.80||
Jabón de karité y carbón activado 100g|La Biznaguera|8.00||
Pasta de dientes Hierbabuena (mentolado) 100ml|La Biznaguera|10.90||
Pasta de dientes Salvia (sabor anisado) 100ml|La Biznaguera|10.90||
Desodorante Salvia 30ml|La Biznaguera|10.40||
Desodorante Laurel (vegano) 30ml|La Biznaguera|10.40||
Gel-Champú de avena 500ml|La Biznaguera|16.50||
Jabón Lavanda 100g|La Biznaguera|5.90||
Jabón Salvia y Romero 100g|La Biznaguera|5.90||
Jabón Naranja y Canela 100g|La Biznaguera|5.90||
Jaboncitos Mejorana "SOAP TO GO" 70g|La Biznaguera|11.90||
Aceite Árgán Fortificante Capilar 50ml|La Biznaguera|18.90||
Gel de peinado Revitalizante 50ml|La Biznaguera|16.50||
Champú Sólido Ortiga blanca y Arcilla 95g|La Biznaguera|14.90||
Champú Sólido Avena y Manzanilla 95g|La Biznaguera|14.90||
Gel - Champú Mandarina (0-3 años) 300ml|La Biznaguera|9.90||
Polvitos de Avena 85g|La Biznaguera|9.60||
Bálsamo Cultio Sano 30ml|La Biznaguera|9.60||
Leche Corporal Caléndula y Albaricoque 150ml|La Biznaguera|12.90||
Aceite Dulces Sueños - Especial cólicos - 50ml|La Biznaguera|10.90||
Perfume Sólido Nazarí  12ml|La Biznaguera|10.90||
Perfume Sólido Alhucema 12ml|La Biznaguera|10.90||
Perfume Sólido Bereber 12ml|La Biznaguera|10.90||
Rasayana Champu solido Ayurbeda 60g|La Biznaguera|14.90||
Sahar tratamiento aminoproteico intensivo 100ml|La Biznaguera|46.90||
Sahar tratamiento aminoproteico intensivo mini 15ml|La Biznaguera|12.90||
Bolsita viajera impermeable|La Biznaguera|9.90||
Toalla capilar bambú hipoalergénica|La Biznaguera|24.50||
Hair Buff felices curly sueños|La Biznaguera|14.90||
Cepillo de bolsillo madera y caucho|La Biznaguera|9.90||
Mascarilla capilar reparadora mini 30ml|La Biznaguera|10.90||
Mascarilla capilar reparadora grande 150ml|La Biznaguera|24.90||
